=~=~=~=~=~=~=~=~=~=~=~= MobaXterm log 2026.06.02 11:00:08 =~=~=~=~=~=~=~=~=~=~=~=
{"fn":123677,"r0":0.097043,"r1":0.423514,"r2":0.752680}
{"fn":123678,"r0":0.097034,"r1":0.423538,"r2":0.752483}
{"fn":123679,"r0":0.097020,"r1":0.423370,"r2":0.752529}
{"fn":123680,"r0":0.097014,"r1":0.423473,"r2":0.751989}
{"fn":123681,"r0":0.097166,"r1":0.423404,"r2":0.752108}
{"fn":123682,"r0":0.097169,"r1":0.423351,"r2":0.753095}
{"fn":123683,"r0":0.097164,"r1":0.423327,"r2":0.753300}
{"fn":123684,"r0":0.097163,"r1":0.423417,"r2":0.752708}
{"fn":123685,"r0":0.097217,"r1":0.423410,"r2":0.753281}
{"fn":123686,"r0":0.097157,"r1":0.423486,"r2":0.752703}
{"fn":123687,"r0":0.097069,"r1":0.423448,"r2":0.752438}
{"fn":123688,"r0":0.097165,"r1":0.423115,"r2":0.753102}
{"fn":123689,"r0":0.097168,"r1":0.423216,"r2":0.752869}
{"fn":123690,"r0":0.097187,"r1":0.423270,"r2":0.753453}
{"fn":123691,"r0":0.097244,"r1":0.423274,"r2":0.753892}
{"fn":123692,"r0":0.097155,"r1":0.423190,"r2":0.753236}
{"fn":123693,"r0":0.097113,"r1":0.423153,"r2":0.753424}
{"fn":123694,"r0":0.097086,"r1":0.423293,"r2":0.752788}
{"fn":123695,"r0":0.097140,"r1":0.423314,"r2":0.753411}
{"fn":123696,"r0":0.097035,"r1":0.423296,"r2":0.753593}
{"fn":123697,"r0":0.097180,"r1":0.423578,"r2":0.753818}
{"fn":123698,"r0":0.097208,"r1":0.423362,"r2":0.753777}
{"fn":123699,"r0":0.097201,"r1":0.423376,"r2":0.753675}
{"fn":123700,"r0":0.096918,"r1":0.423367,"r2":0.753597}
{"fn":123701,"r0":0.096886,"r1":0.423380,"r2":0.753303}
{"fn":123702,"r0":0.096841,"r1":0.423408,"r2":0.752454}
{"fn":123703,"r0":0.096957,"r1":0.423418,"r2":0.752932}
{"fn":123704,"r0":0.096839,"r1":0.423407,"r2":0.752775}
{"fn":123705,"r0":0.096998,"r1":0.423380,"r2":0.753300}
{"fn":123706,"r0":0.096984,"r1":0.423486,"r2":0.753385}
{"fn":123707,"r0":0.096999,"r1":0.423374,"r2":0.753100}
{"fn":123708,"r0":0.097007,"r1":0.423390,"r2":0.752929}
{"fn":123709,"r0":0.096851,"r1":0.423483,"r2":0.753118}
{"fn":123710,"r0":0.096977,"r1":0.423413,"r2":0.752836}
{"fn":123711,"r0":0.096960,"r1":0.423494,"r2":0.752804}
{"fn":123712,"r0":0.096927,"r1":0.423413,"r2":0.753063}
{"fn":123713,"r0":0.096980,"r1":0.423359,"r2":0.753262}
{"fn":123714,"r0":0.096905,"r1":0.423313,"r2":0.752771}
{"fn":123715,"r0":0.096981,"r1":0.423540,"r2":0.752436}
{"fn":123716,"r0":0.096888,"r1":0.423389,"r2":0.752982}
{"fn":123717,"r0":0.096965,"r1":0.423387,"r2":0.752778}
{"fn":123718,"r0":0.097045,"r1":0.423353,"r2":0.752936}
{"fn":123719,"r0":0.097048,"r1":0.423473,"r2":0.753648}
{"fn":123720,"r0":0.096968,"r1":0.423350,"r2":0.753275}
{"fn":123721,"r0":0.096975,"r1":0.423525,"r2":0.753179}
{"fn":123722,"r0":0.097024,"r1":0.423369,"r2":0.752931}
{"fn":123723,"r0":0.096987,"r1":0.423511,"r2":0.753458}
{"fn":123724,"r0":0.096922,"r1":0.423412,"r2":0.752697}
{"fn":123725,"r0":0.097029,"r1":0.423485,"r2":0.752561}
{"fn":123726,"r0":0.097031,"r1":0.423342,"r2":0.752864}
{"fn":123727,"r0":0.097039,"r1":0.423506,"r2":0.753086}
{"fn":123728,"r0":0.097056,"r1":0.423547,"r2":0.753395}
{"fn":123729,"r0":0.096896,"r1":0.423447,"r2":0.752954}
{"fn":123730,"r0":0.097027,"r1":0.423506,"r2":0.753116}
{"fn":123731,"r0":0.096947,"r1":0.423456,"r2":0.752928}
{"fn":123732,"r0":0.097084,"r1":0.423655,"r2":0.752950}
{"fn":123733,"r0":0.097022,"r1":0.423588,"r2":0.752631}
{"fn":123734,"r0":0.097098,"r1":0.423480,"r2":0.753486}
{"fn":123735,"r0":0.096996,"r1":0.423517,"r2":0.752837}
