pc_time,fn,r0_raw,r0_hampel_gate,r0_filtered_ewma,r1,r2,glitch_flag,N,alpha,k1
2026-06-16 11:01:23,10501,0.887585,0.887585,0.893579,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:23,10502,0.863615,0.898014,0.895353,1.371382,1.550699,1,7,0.40,3.0
2026-06-16 11:01:23,10503,0.863028,0.863028,0.882423,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:23,10504,0.857745,0.857745,0.872552,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:24,10505,0.848731,0.848731,0.863024,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:24,10506,0.851802,0.851802,0.858535,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:24,10507,0.852576,0.852576,0.856151,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:24,10508,0.854568,0.854568,0.855518,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:24,10509,0.859117,0.859117,0.856958,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:24,10510,0.862976,0.862976,0.859365,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:24,10511,0.879429,0.879429,0.867391,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:24,10512,0.897932,0.897932,0.879607,1.192065,1.371382,0,7,0.40,3.0
2026-06-16 11:01:24,10513,0.901598,0.901598,0.888403,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:24,10514,0.848836,0.848836,0.872576,0.923090,1.371382,0,7,0.40,3.0
2026-06-16 11:01:24,10515,0.851103,0.851103,0.863987,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:24,10516,0.852987,0.852987,0.859587,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:24,10517,0.856808,0.856808,0.858475,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:24,10518,0.863948,0.863948,0.860664,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:24,10519,0.870559,0.870559,0.864622,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:24,10520,0.885614,0.885614,0.873019,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:24,10521,1.191212,0.863948,0.869391,1.371382,1.550699,1,7,0.40,3.0
2026-06-16 11:01:24,10522,0.854903,0.854903,0.863596,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:24,10523,0.857690,0.857690,0.861233,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:24,10524,0.858591,0.858591,0.860176,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:24,10525,0.860222,0.860222,0.860195,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:25,10526,0.860769,0.860769,0.860424,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:25,10527,0.862476,0.862476,0.861245,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:25,10528,0.862436,0.862436,0.861721,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:25,10529,0.859727,0.859727,0.860924,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:25,10530,0.856045,0.856045,0.858972,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:25,10531,0.854755,0.854755,0.857285,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:25,10532,0.855296,0.855296,0.856490,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:25,10533,0.854730,0.854730,0.855786,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:25,10534,0.853941,0.853941,0.855048,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:25,10535,0.854004,0.854004,0.854630,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:25,10536,0.853757,0.853757,0.854281,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:25,10537,0.853416,0.853416,0.853935,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:25,10538,0.854017,0.854017,0.853968,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:25,10539,0.853970,0.853970,0.853969,1.371382,1.550699,0,7,0.40,3.0
